number,link,treatment,pot,focal,background_T,background_R,background_H,fruit_number,exclusion,Notes,mean_weigthxseed,mean_seedsxfruit,total_seeds,total_seed_weigth
695,OO H,OO,7,H,0,3,0,1,0,NA,0.978125,2.444444444,2.444444444,2.390972222
696,OO H,OO,2,H,0,2,0,1,0,NA,0.978125,2.444444444,2.444444444,2.390972222
697,OO H,OO,1,H,0,1,0,3,0,NA,0.978125,2.444444444,7.333333333,7.172916667
698,OO H,OO,4,H,0,0,2,1,0,NA,0.978125,2.444444444,2.444444444,2.390972222
699,OO H,OO,1,H,0,2,0,3,0,NA,0.978125,2.444444444,7.333333333,7.172916667
700,OO H,OO,2,H,0,1,0,3,0,NA,0.978125,2.444444444,7.333333333,7.172916667
701,OO H,OO,8,H,1,1,0,1,0,NA,0.978125,2.444444444,2.444444444,2.390972222
702,OO H,OO,4,H,0,1,0,1,0,NA,0.978125,2.444444444,2.444444444,2.390972222
703,OO H,OO,4,H,0,1,1,2,0,NA,0.978125,2.444444444,4.888888889,4.781944444
704,OO R,OO,1,R,0,2,0,7,0,NA,0.0050815,4.7,32.9,0.16718135
705,OO R,OO,3,R,0,3,0,5,0,NA,0.0050815,4.7,23.5,0.11941525
706,OO R,OO,1,R,1,0,0,2,0,NA,0.0050815,4.7,9.4,0.0477661
707,OO R,OO,1,R,0,1,0,5,0,NA,0.0050815,4.7,23.5,0.11941525
708,OO R,OO,3,R,0,1,0,17,0,NA,0.0050815,4.7,79.9,0.40601185
709,OO R,OO,2,R,0,2,0,8,0,NA,0.0050815,4.7,37.6,0.1910644
710,OO R,OO,3,R,0,3,0,1,0,NA,0.0050815,4.7,4.7,0.02388305
711,OO R,OO,2,R,0,0,0,3,0,NA,0.0050815,4.7,14.1,0.07164915
712,OO R,OO,3,R,0,3,0,3,0,NA,0.0050815,4.7,14.1,0.07164915
713,OO R,OO,3,R,0,2,0,9,0,NA,0.0050815,4.7,42.3,0.21494745
714,OO R,OO,7,R,1,1,0,3,0,NA,0.0050815,4.7,14.1,0.07164915
715,OO R,OO,2,R,2,0,0,18,0,NA,0.0050815,4.7,84.6,0.4298949
716,OO R,OO,5,R,1,1,0,1,0,NA,0.0050815,4.7,4.7,0.02388305
717,OO R,OO,6,R,2,2,0,11,0,NA,0.0050815,4.7,51.7,0.26271355
718,OO R,OO,5,R,2,0,0,18,0,NA,0.0050815,4.7,84.6,0.4298949
719,OO R,OO,6,R,1,0,0,6,0,NA,0.0050815,4.7,28.2,0.1432983
720,OO R,OO,3,R,0,3,0,1,0,NA,0.0050815,4.7,4.7,0.02388305
721,OO R,OO,7,R,2,0,0,7,0,NA,0.0050815,4.7,32.9,0.16718135
722,OO R,OO,6,R,1,1,0,3,0,NA,0.0050815,4.7,14.1,0.07164915
723,OO R,OO,10,R,0,0,0,19,0,NA,0.0050815,4.7,89.3,0.45377795
724,OO R,OO,7,R,0,1,0,4,0,NA,0.0050815,4.7,18.8,0.0955322
725,OO R,OO,7,R,1,2,0,7,0,NA,0.0050815,4.7,32.9,0.16718135
726,OO R,OO,4,R,2,0,0,6,0,NA,0.0050815,4.7,28.2,0.1432983
727,OO R,OO,8,R,0,3,0,8,0,NA,0.0050815,4.7,37.6,0.1910644
728,OO R,OO,5,R,1,0,0,2,0,NA,0.0050815,4.7,9.4,0.0477661
729,OO R,OO,9,R,0,2,0,2,0,NA,0.0050815,4.7,9.4,0.0477661
730,OO R,OO,9,R,0,1,0,3,0,NA,0.0050815,4.7,14.1,0.07164915
731,OO R,OO,10,R,2,0,0,36,0,NA,0.0050815,4.7,169.2,0.8597898
732,OO R,OO,7,R,0,0,0,1,0,NA,0.0050815,4.7,4.7,0.02388305
733,OO R,OO,10,R,1,0,0,18,0,NA,0.0050815,4.7,84.6,0.4298949
734,OO R,OO,8,R,0,2,0,27,0,NA,0.0050815,4.7,126.9,0.64484235
735,OO T,OO,10,T,0,0,1,1,0,NA,0.006713911,23.2,23.2,0.155762724
736,OO T,OO,10,T,1,0,1,2,0,NA,0.006713911,23.2,46.4,0.311525447
737,OO T,OO,4,T,0,1,2,1,0,NA,0.006713911,23.2,23.2,0.155762724
738,OO T,OO,10,T,0,0,1,1,0,NA,0.006713911,23.2,23.2,0.155762724
