year,species,treatment,measure,value
2017,Lucilia_sericata,BF,1_visits_raphanus_3min,0
2017,Lucilia_sericata,FF,1_visits_raphanus_3min,3
2017,Lucilia_sericata,OF,2_visits_raphanus_3min,1
2017,Lucilia_sericata,F_low,2_visits_raphanus_3min,2
2017,Lucilia_sericata,F,2_visits_raphanus_3min,2
2017,Lucilia_sericata,BF_x,2_visits_raphanus_3min,0
2017,Lucilia_sericata,BF,2_visits_raphanus_3min,0
2017,Lucilia_sericata,FF,2_visits_raphanus_3min,1
2017,Bombus_terrestris,B_low,1_visits_raphanus_3min,38
2017,Bombus_terrestris,BF_x,1_visits_raphanus_3min,0
2017,Bombus_terrestris,BB_x,1_visits_raphanus_3min,0
2017,Bombus_terrestris,OB_x,1_visits_raphanus_3min,0
2017,Bombus_terrestris,OB,1_visits_raphanus_3min,45
2017,Bombus_terrestris,B,1_visits_raphanus_3min,34
2017,Bombus_terrestris,B_x,1_visits_raphanus_3min,0
2017,Bombus_terrestris,BF,1_visits_raphanus_3min,42
2017,Bombus_terrestris,BB,1_visits_raphanus_3min,58
2017,Bombus_terrestris,B_low,2_visits_raphanus_3min,25
2017,Bombus_terrestris,BF_x,2_visits_raphanus_3min,0
2017,Bombus_terrestris,BB_x,2_visits_raphanus_3min,0
2017,Bombus_terrestris,OB_x,2_visits_raphanus_3min,0
2017,Bombus_terrestris,OB,2_visits_raphanus_3min,38
2017,Bombus_terrestris,B,2_visits_raphanus_3min,41
2017,Bombus_terrestris,B_x,2_visits_raphanus_3min,0
2017,Bombus_terrestris,BF,2_visits_raphanus_3min,36
2017,Bombus_terrestris,BB,2_visits_raphanus_3min,58
2017,Bombus_terrestris,B_low,1_visits_vicia_3min,8
2017,Bombus_terrestris,BF_x,1_visits_vicia_3min,12
2017,Bombus_terrestris,BB_x,1_visits_vicia_3min,25
2017,Bombus_terrestris,OB_x,1_visits_vicia_3min,17
2017,Bombus_terrestris,OB,1_visits_vicia_3min,9
2017,Bombus_terrestris,B,1_visits_vicia_3min,15
2017,Bombus_terrestris,B_x,1_visits_vicia_3min,16
2017,Bombus_terrestris,BF,1_visits_vicia_3min,9
2017,Bombus_terrestris,BB,1_visits_vicia_3min,18
2017,Bombus_terrestris,B_low,2_visits_vicia_3min,5
2017,Bombus_terrestris,BF_x,2_visits_vicia_3min,8
2017,Bombus_terrestris,BB_x,2_visits_vicia_3min,14
2017,Bombus_terrestris,OB_x,2_visits_vicia_3min,7
2017,Bombus_terrestris,OB,2_visits_vicia_3min,9
2017,Bombus_terrestris,B,2_visits_vicia_3min,6
2017,Bombus_terrestris,B_x,2_visits_vicia_3min,7
2017,Bombus_terrestris,BF,2_visits_vicia_3min,4
2017,Bombus_terrestris,BB,2_visits_vicia_3min,9
2017,Bombus_terrestris,B_low,1_visits_Tomato_3min,0
2017,Bombus_terrestris,BF_x,1_visits_Tomato_3min,3
2017,Bombus_terrestris,BB_x,1_visits_Tomato_3min,2
2017,Bombus_terrestris,OB_x,1_visits_Tomato_3min,0
2017,Bombus_terrestris,OB,1_visits_Tomato_3min,4
2017,Bombus_terrestris,B,1_visits_Tomato_3min,1
2017,Bombus_terrestris,B_x,1_visits_Tomato_3min,3
2017,Bombus_terrestris,BF,1_visits_Tomato_3min,0
2017,Bombus_terrestris,BB,1_visits_Tomato_3min,3
2017,Bombus_terrestris,B_low,2_visits_tomato_3min,1
2017,Bombus_terrestris,BF_x,2_visits_tomato_3min,3
2017,Bombus_terrestris,BB_x,2_visits_tomato_3min,2
2017,Bombus_terrestris,OB_x,2_visits_tomato_3min,4
2017,Bombus_terrestris,OB,2_visits_tomato_3min,3
2017,Bombus_terrestris,B,2_visits_tomato_3min,0
2017,Bombus_terrestris,B_x,2_visits_tomato_3min,0
2017,Bombus_terrestris,BF,2_visits_tomato_3min,2
2017,Bombus_terrestris,BB,2_visits_tomato_3min,3
